date,SGS 'N',SWISSCOM 'R',GIVAUDAN 'N',ZURICH INSURANCE GROUP,NOVARTIS 'R',ROCHE HOLDING,CREDIT SUISSE GROUP,HOLCIM,ABB LTD N,LONZA GROUP,SWISS LIFE HOLDING,PARTNERS GROUP HOLDING,LOGITECH 'R',GEBERIT 'R',NESTLE 'N',SWISS RE,RICHEMONT N,UBS GROUP,SIKA,ALCON (SWX) ORD SHS
12/31/2015,1911,503,1823,258.4,76.73,276.4,20.929,50.3,17.96,151.078,267.546,361.25,15.4,340.2,74.55,98.15,72.1,19.52,60.335,NA
1/29/2016,1983,507.5,1907,225.8,69.393,263.9,17.369,42.92,17.57,144.779,256.008,368.25,16.15,361.8,75.2,94.8,66.25,16.83,60.951,NA
2/29/2016,2018,489.2,1875,212.5,63.338,257,12.969,39.57,17.9,140.796,240.624,362.75,15.5,361.3,70.1,88.85,63.8,15.34,63.385,NA
3/31/2016,2032,522.5,1886,223.3,61.614,236.7,13.133,45.23,18.74,150.707,252.162,386.5,15.3,359.3,71.85,88.9,63.55,15.49,63.435,NA
4/29/2016,2111,486.5,1890,214.7,64.708,242.5,14.059,48.57,20.28,147.836,238.75,395,14.7,368.3,71.5,85.1,63.8,16.6,68.051,NA
5/31/2016,2121,473.6,1905,240.5,69.747,260.9,13.142,44.7,20.68,158.951,254.135,419,15.3,380,73.4,89.3,58.55,15.36,71.668,NA
6/30/2016,2226,482.7,1956,239.4,70.852,256.1,9.948,40.54,19.12,149.318,220.802,416.75,15.8,368,75.15,84.75,56.75,12.57,67.935,NA
7/29/2016,2145,477.1,1992,232.9,70.984,247.5,10.759,46.12,20.6,169.233,218.436,443.5,19.35,374,77.7,81.35,58.95,13.35,75.768,NA
8/31/2016,2161,469.9,2033,251.4,68.421,239.8,12.361,52.15,21.31,172.661,242.597,451,20.6,429,78.3,83,56.65,14.22,78.102,NA
9/30/2016,2175,461.7,1977,250,67.537,241,12.264,52.5,21.81,171.919,248.02,490,21.8,425.4,76.55,87.65,59.2,13.23,78.735,NA
10/31/2016,2006,452.7,1915,258.9,62.233,227.5,13.335,52.85,20.4,173.031,258.375,501,23.95,418.7,71.75,91.9,63.65,14,79.268,NA
11/30/2016,2043,434.5,1812,266.5,62.1,226.7,13.046,53.85,20.72,168.214,275.732,494,25.05,402.5,68.4,93.6,66.45,16.17,82.218,NA
12/30/2016,2072,456.1,1866,280.4,65.504,232.6,14.097,53.65,21.48,163.305,284.213,477.25,25.4,408.2,73.05,96.5,67.45,15.95,81.535,NA
1/31/2017,2092,435,1779,283.5,64.045,233,14.464,52.9,23.43,167.566,294.962,498.75,28.25,421.6,72.3,92.1,76.7,15.97,86.418,NA
2/28/2017,2135,442.2,1824,277.3,69.305,244.7,14.619,57.15,22.72,171.364,311.628,525.5,29.05,434.6,74.25,89.8,74,15.47,94.252,NA
3/31/2017,2137,462.1,1804,267.4,65.725,255.8,14.377,59.2,23.43,175.439,318.728,538.5,31.85,431.8,76.85,89.95,79.2,16.03,100.169,NA
4/28/2017,2239,434,1917,275.4,67.669,260.3,14.599,56.4,24.36,188.5,319.32,601.5,33.25,453.2,76.65,86.6,83.15,17,105.835,NA
5/31/2017,2305,464.4,1987,284.7,70.1,265.8,13.3,58.15,24.33,200.6,318.63,593.5,35.4,453.4,82.65,88.3,80.8,15.4,104.002,NA
