date,rf
12/31/2015,-0.00069
1/29/2016,-0.00266
2/29/2016,-0.0045
3/31/2016,-0.00336
4/29/2016,-0.00255
5/31/2016,-0.00364
6/30/2016,-0.00558
7/29/2016,-0.00563
8/31/2016,-0.00492
9/30/2016,-0.00561
10/31/2016,-0.00395
11/30/2016,-0.0017
12/30/2016,-0.00139
1/31/2017,-0.00069
2/28/2017,-0.0023
3/31/2017,-0.001
4/28/2017,-0.00106
5/31/2017,-0.0017
6/30/2017,-0.00027
7/31/2017,0.00052
8/31/2017,-0.00134
9/29/2017,-0.00011
10/31/2017,-0.00072
11/30/2017,-0.00109
12/29/2017,-0.00069
1/31/2018,0.00101
2/28/2018,0.00079
3/30/2018,0.00023
4/30/2018,0.00083
5/31/2018,-0.00072
6/29/2018,-0.00068
7/31/2018,-0.00005
8/31/2018,-0.00103
9/28/2018,0.00041
10/31/2018,-0.00011
11/30/2018,-0.00095
12/31/2018,-0.00168
1/31/2019,-0.00243
2/28/2019,-0.00261
3/29/2019,-0.00373
4/30/2019,-0.00303
5/31/2019,-0.00468
6/28/2019,-0.00535
7/31/2019,-0.00757
8/30/2019,-0.0101
9/30/2019,-0.00753
10/31/2019,-0.00563
11/29/2019,-0.00614
12/31/2019,-0.00472
1/31/2020,-0.00784
2/28/2020,-0.00871
3/31/2020,-0.0035
4/30/2020,-0.00541
5/29/2020,-0.00464
6/30/2020,-0.00431
7/31/2020,-0.00542
8/31/2020,-0.00411
9/30/2020,-0.00485
10/30/2020,-0.00543
11/30/2020,-0.00452
12/31/2020,-0.00493
1/29/2021,-0.00443
2/26/2021,-0.0021
3/31/2021,-0.00283
4/30/2021,-0.00204
5/31/2021,-0.00156
6/30/2021,-0.0024
7/30/2021,-0.00378
8/31/2021,-0.00336
9/30/2021,-0.0017
10/29/2021,-0.00022
11/30/2021,-0.00241
12/31/2021,-0.00135
